,index,fopt,rb1,rb2,tc1,tc2,Rib,kbd,ksp,tu1,tu2,protein,Rb,Tc,kbd_factor,protein_expr_rate
10,10,0.5,3.4337782717545853,8.674031546370495,1655.2695245453126,655.2695245453127,50,0.005,0.5,94.7304754546874,94.73047545468728,1894.6095090937479,12.10780981812508,2310.539049090625,0.1,18.94609509093748
11,11,0.55,3.847883800725644,7.800753836553866,1644.5337535025187,663.709434683879,50,0.005,0.5,105.46624649748128,86.29056531612105,1917.5681181360233,11.64863763727951,2308.2431881863977,0.1,19.175681181360233
12,12,0.6,4.27524993714669,6.924499591519057,1633.5992485859972,672.3994990573315,50,0.005,0.5,116.4007514140028,77.60050094266853,1940.0125235667133,11.199749528665746,2305.998747643329,0.1,19.400125235667133
13,13,0.65,4.7158001951999475,6.046841686296428,1622.4785861148632,681.3346232926186,50,0.005,0.5,127.52141388513678,68.66537670738137,1961.867905925181,10.762641881496375,2303.8132094074817,0.1,19.61867905925181
14,14,0.7,5.169394256223588,5.169394256223589,1611.1857597935652,690.5081827686707,50,0.005,0.5,138.81424020643476,59.491817231329264,1983.0605743776393,10.338788512447177,2301.693942562236,0.1,19.830605743776392
15,15,0.75,5.635826656144062,4.2937945046842545,1599.736079353106,699.9120264510354,50,0.005,0.5,150.2639206468939,50.087973548964555,2003.5189419585852,9.929621160828317,2299.648105804142,0.1,20.03518941958585
16,16,0.8,6.1148265535813335,3.4216835358197843,1588.1460403576045,709.5365100894011,50,0.005,0.5,161.85395964239547,40.46348991059892,2023.1744955299434,9.536510089401117,2297.6825504470057,0.1,20.231744955299433
17,17,0.85,6.60605862274492,2.5546867796671937,1576.4331679602515,719.3705590518091,50,0.005,0.5,173.56683203974853,30.629440948190904,2041.9627298793946,9.160745402412113,2295.8037270120603,0.1,20.419627298793944
18,18,0.9,7.1091250720981884,1.6943946088659845,1564.6158385643387,729.4017598404821,50,0.005,0.5,185.38416143566133,20.5982401595179,2059.8240159517927,8.803519680964174,2294.017598404821,0.1,20.59824015951793
19,19,0.95,7.623568745702632,0.8423437431371837,1552.713084321989,739.61647812221,50,0.005,0.5,197.28691567801093,10.38352187779003,2076.70437555801,8.465912488839816,2292.329562444199,0.1,20.767043755580097
20,20,1.0,8.148877222267792,0.0,1540.744386111339,750.0,50,0.005,0.5,209.25561388866095,0.0,2092.5561388866095,8.148877222267792,2290.744386111339,0.1,20.925561388866093
21,21,0.0,0.0,169.5359714832658,1750.0,584.7679857416329,500,0.0005,0.05,0.0,165.23201425836714,,169.5359714832658,2334.767985741633,0.1,
22,22,0.05,2.888078565496368,161.78351343914966,1741.616789800116,590.7190062022069,500,0.0005,0.05,8.383210199883933,159.28099379779314,1676.6420399767865,164.67159200464602,2332.335796002323,0.1,16.766420399767863
23,23,0.1,5.88955498344017,153.89262359192753,1732.9891089287685,596.9019803589155,500,0.0005,0.05,17.010891071231526,153.09801964108453,1701.0891071231526,159.7821785753677,2329.891089287684,0.1,17.010891071231526
24,24,0.15,9.007821033298258,145.86936852340628,1724.1157892167528,603.3228055615995,500,0.0005,0.05,25.884210783247227,146.67719443840053,1725.6140522164817,154.87718955670454,2327.438594778352,0.1,17.256140522164817
25,25,0.2,12.246077031829214,137.7208952418535,1714.9966972273683,609.9867889094731,500,0.0005,0.05,35.00330277263174,140.01321109052685,1750.165138631587,149.9669722736827,2324.9834861368413,0.1,17.50165138631587
26,26,0.25,15.607282886119213,129.45546006702165,1705.6328428691427,616.8985286074278,500,0.0005,0.05,44.36715713085732,133.1014713925722,1774.6862852342927,145.06274295314086,2322.5313714765707,0.1,17.746862852342925
27,27,0.3,19.09410675690255,121.08244088062496,1696.0264821456292,624.0617916731346,500,0.0005,0.05,53.97351785437081,125.93820832686538,1799.1172618123603,140.1765476375275,2320.088273818764,0.1,17.991172618123603
28,28,0.35,22.70887228597838,112.61233001818023,1686.1812104032279,631.4793907488515,500,0.0005,0.05,63.81878959677215,118.52060925114847,1823.3939884792044,135.32120230415862,2317.6606011520794,0.1,18.233939884792044
29,29,0.4,26.453505554530178,104.05670541915441,1676.102042194737,639.1530632921053,500,0.0005,0.05,73.8979578052631,110.84693670789466,1847.4489451315776,130.5102109736846,2315.2551054868422,0.1,18.474489451315776
