,fopt,kch,species,delta
659,0.62,10,Tc2,510.0576225671143
660,0.63,10,Tc2,550.9666557505507
661,0.64,10,Tc2,595.0494683187054
662,0.65,10,Tc2,642.2515678927704
663,0.66,10,Tc2,692.401956357798
664,0.67,10,Tc2,745.1902140756993
665,0.68,10,Tc2,800.1499406447231
666,0.69,10,Tc2,856.6534462476485
667,0.7,10,Tc2,913.922238394695
668,0.71,10,Tc2,971.0560795669201
669,0.72,10,Tc2,1027.0802008544754
670,0.73,10,Tc2,1081.006268212666
671,0.74,10,Tc2,1131.899097902589
672,0.75,10,Tc2,1178.9392240448524
673,0.76,10,Tc2,1221.4720482285077
674,0.77,10,Tc2,1259.0373028052159
675,0.78,10,Tc2,1291.376874131804
676,0.79,10,Tc2,1318.423213022213
677,0.8,10,Tc2,1340.2734439597214
678,0.81,10,Tc2,1357.1554014245794
679,0.82,10,Tc2,1369.391384992869
680,0.83,10,Tc2,1377.3640371364525
681,0.84,10,Tc2,1381.4870559607573
682,0.85,10,Tc2,1382.1819298677372
683,0.86,10,Tc2,1379.8607542364255
684,0.87,10,Tc2,1374.9145005439334
685,0.88,10,Tc2,1367.705784041333
686,0.89,10,Tc2,1358.5651065512582
687,0.9,10,Tc2,1347.7896313680606
688,0.91,10,Tc2,1335.6436977795727
689,0.92,10,Tc2,1322.3604513467865
690,0.93,10,Tc2,1308.14412364624
691,0.94,10,Tc2,1293.1726285392092
692,0.95,10,Tc2,1277.6002477711575
693,0.96,10,Tc2,1261.5602585851082
694,0.97,10,Tc2,1245.167414046897
695,0.98,10,Tc2,1228.5202274462893
696,0.99,10,Tc2,1211.70303965598
697,1.0,10,Tc2,1194.7878662247365
698,0.01,30,Tc2,66.95733390681653
699,0.02,30,Tc2,68.38487395189077
700,0.03,30,Tc2,69.85640637722669
701,0.04,30,Tc2,71.37365255290432
702,0.05,30,Tc2,72.93841242012034
703,0.06,30,Tc2,74.55256834819583
704,0.07,30,Tc2,76.21808916964021
705,0.08,30,Tc2,77.93703439772348
706,0.09,30,Tc2,79.71155863000949
707,0.1,30,Tc2,81.54391614086187
708,0.11,30,Tc2,83.43646566436296
709,0.12,30,Tc2,85.39167536809491
710,0.13,30,Tc2,87.41212801652402
711,0.14,30,Tc2,89.50052632041539
712,0.15,30,Tc2,91.65969846680485
713,0.16,30,Tc2,93.89260382075682
714,0.17,30,Tc2,96.20233878692366
715,0.18,30,Tc2,98.5921428147778
716,0.19,30,Tc2,101.06540452678124
717,0.2,30,Tc2,103.62566794299815
718,0.21,30,Tc2,106.27663876909443
719,0.22,30,Tc2,109.02219070742366
720,0.23,30,Tc2,111.866371741496
721,0.24,30,Tc2,114.81341033443208
722,0.25,30,Tc2,117.8677214699518
723,0.26,30,Tc2,121.03391245090609
724,0.27,30,Tc2,124.31678835505966
725,0.28,30,Tc2,127.72135702981575
726,0.29,30,Tc2,131.2528334877931
727,0.3,30,Tc2,134.91664354203283
728,0.31,30,Tc2,138.71842649421626
729,0.32,30,Tc2,142.66403666010763
730,0.33,30,Tc2,146.75954348443256
731,0.34,30,Tc2,151.01122996140347
732,0.35,30,Tc2,155.4255890377938
733,0.36,30,Tc2,160.00931763186358
734,0.37,30,Tc2,164.76930785484555
735,0.38,30,Tc2,169.71263497081836
736,0.39,30,Tc2,174.84654157731242
737,0.4,30,Tc2,180.17841743265404
738,0.41,30,Tc2,185.71577429855864
739,0.42,30,Tc2,191.46621510812435
740,0.43,30,Tc2,197.4373967135362
741,0.44,30,Tc2,203.63698541497666
742,0.45,30,Tc2,210.07260442757436
743,0.46,30,Tc2,216.751772408986
744,0.47,30,Tc2,223.681832151858
745,0.48,30,Tc2,230.86986854955833
746,0.49,30,Tc2,238.32261497499283
747,0.5,30,Tc2,246.04634728165684
748,0.51,30,Tc2,254.0467647498358
749,0.52,30,Tc2,262.32885747030514
750,0.53,30,Tc2,270.89675989295165
751,0.54,30,Tc2,279.75359057826927
752,0.55,30,Tc2,288.90127858642217
753,0.56,30,Tc2,298.34037742843947
754,0.57,30,Tc2,308.06986809347194
755,0.58,30,Tc2,318.0869533554298
756,0.59,30,Tc2,328.38684634671125
757,0.6,30,Tc2,338.96255725388727
758,0.61,30,Tc2,349.80468291671485
759,0.62,30,Tc2,360.90120506476035
760,0.63,30,Tc2,372.2373038576162
761,0.64,30,Tc2,383.7951942463402
762,0.65,30,Tc2,395.55399337251595
763,0.66,30,Tc2,407.48962768782314
764,0.67,30,Tc2,419.5747886207865
765,0.68,30,Tc2,431.77894535737056
766,0.69,30,Tc2,444.0684225580685
767,0.7,30,Tc2,456.40654955296856
768,0.71,30,Tc2,468.75388571038417
769,0.72,30,Tc2,481.06852427898684
770,0.73,30,Tc2,493.3064741215044
771,0.74,30,Tc2,505.42211550480215
772,0.75,30,Tc2,517.3687226529519
773,0.76,30,Tc2,529.0990423180001
774,0.77,30,Tc2,540.565914413548
775,0.78,30,Tc2,551.7229180366821
776,0.79,30,Tc2,562.5250242049897
777,0.8,30,Tc2,572.9292355414254
778,0.81,30,Tc2,582.8951930794682
779,0.82,30,Tc2,592.3857313701493
780,0.83,30,Tc2,601.36736510974
781,0.84,30,Tc2,609.8106934327569
782,0.85,30,Tc2,617.6907116283923
783,0.86,30,Tc2,624.9870240761987
784,0.87,30,Tc2,631.6839563785828
785,0.88,30,Tc2,637.7705687147676
786,0.89,30,Tc2,643.2405761029253
787,0.9,30,Tc2,648.0921843392701
788,0.91,30,Tc2,652.3278527512156
789,0.92,30,Tc2,655.9539964909726
790,0.93,30,Tc2,658.9806419082942
791,0.94,30,Tc2,661.4210486328328
792,0.95,30,Tc2,663.2913114646379
793,0.96,30,Tc2,664.6099541437474
794,0.97,30,Tc2,665.3975256800771
795,0.98,30,Tc2,665.6762083108214
796,0.99,30,Tc2,665.4694444366322
797,1.0,30,Tc2,664.8015881745545
798,0.01,100,Tc2,51.52019875434917
799,0.02,100,Tc2,52.27061119094287
800,0.03,100,Tc2,53.03599911953825
801,0.04,100,Tc2,53.81671315276434
802,0.05,100,Tc2,54.61311209360246
803,0.06,100,Tc2,55.425563050266675
804,0.07,100,Tc2,56.254441544444894
805,0.08,100,Tc2,57.1001316113325
806,0.09,100,Tc2,57.96302589089922
807,0.1,100,Tc2,58.84352570860751
808,0.11,100,Tc2,59.7420411448866
809,0.12,100,Tc2,60.65899109123623
810,0.13,100,Tc2,61.59480329210959
811,0.14,100,Tc2,62.54991437027678
812,0.15,100,Tc2,63.5247698344075
813,0.16,100,Tc2,64.51982406648534
814,0.17,100,Tc2,65.53554028718048
815,0.18,100,Tc2,66.5723904969583
816,0.19,100,Tc2,67.6308553903595
817,0.2,100,Tc2,68.71142424084832
818,0.21,100,Tc2,69.81459475373426
819,0.22,100,Tc2,70.94087288360237
820,0.23,100,Tc2,72.09077261387613
821,0.24,100,Tc2,73.264815694222
822,0.25,100,Tc2,74.46353133298082
823,0.26,100,Tc2,75.68745584030687
824,0.27,100,Tc2,76.93713221808586
825,0.28,100,Tc2,78.21310969229664
826,0.29,100,Tc2,79.51594318342396
827,0.3,100,Tc2,80.84619270990736
828,0.31,100,Tc2,82.20442271971244
829,0.32,100,Tc2,83.59120134467723
830,0.33,100,Tc2,85.00709957227166
831,0.34,100,Tc2,86.45269032880371
832,0.35,100,Tc2,87.92854746818689
833,0.36,100,Tc2,89.43524466022828
834,0.37,100,Tc2,90.97335417166042
835,0.38,100,Tc2,92.54344553394267
836,0.39,100,Tc2,94.1460840906415
837,0.4,100,Tc2,95.78182941785363
838,0.41,100,Tc2,97.45123361090054
839,0.42,100,Tc2,99.15483943025257
840,0.43,100,Tc2,100.89317830003202
841,0.44,100,Tc2,102.66676815245992
842,0.45,100,Tc2,104.47611111170535
843,0.46,100,Tc2,106.32169101100989
844,0.47,100,Tc2,108.20397073740702
845,0.48,100,Tc2,110.12338939866585
846,0.49,100,Tc2,112.08035930803807
847,0.5,100,Tc2,114.07526278288732
848,0.51,100,Tc2,116.10844875440297
849,0.52,100,Tc2,118.18022918660053
850,0.53,100,Tc2,120.29087530455615
851,0.54,100,Tc2,122.44061363222715
852,0.55,100,Tc2,124.62962184367814
853,0.56,100,Tc2,126.85802443148748
854,0.57,100,Tc2,129.12588820019113
855,0.58,100,Tc2,131.43321759341677
856,0.59,100,Tc2,133.77994986730062
857,0.6,100,Tc2,136.16595012495043
858,0.61,100,Tc2,138.59100623012625
859,0.62,100,Tc2,141.05482362198234
860,0.63,100,Tc2,143.5570200556184
861,0.64,100,Tc2,146.09712029824763
862,0.65,100,Tc2,148.67455081326838
863,0.66,100,Tc2,151.28863447018816
864,0.67,100,Tc2,153.9385853215775
865,0.68,100,Tc2,156.62350349285802
866,0.69,100,Tc2,159.3423702350963
867,0.7,100,Tc2,162.09404319489508
868,0.71,100,Tc2,164.87725195951256
869,0.72,100,Tc2,167.690593939153
870,0.73,100,Tc2,170.53253065116664
871,0.74,100,Tc2,173.40138447407284
872,0.75,100,Tc2,176.29533594132437
873,0.76,100,Tc2,179.21242164576353
874,0.77,100,Tc2,182.15053282638092
875,0.78,100,Tc2,185.1074147084658
876,0.79,100,Tc2,188.08066666636006
877,0.8,100,Tc2,191.06774327483419
878,0.81,100,Tc2,194.065956311408
879,0.82,100,Tc2,197.0724777656321
880,0.83,100,Tc2,200.084343904234
881,0.84,100,Tc2,203.09846043281806
882,0.85,100,Tc2,206.11160878389666
883,0.86,100,Tc2,209.12045355049693
884,0.87,100,Tc2,212.1215510705836
885,0.88,100,Tc2,215.11135915454796
886,0.89,100,Tc2,218.08624793244442
887,0.9,100,Tc2,221.042511781968
888,0.91,100,Tc2,223.97638228205759
889,0.92,100,Tc2,226.88404212061621
890,0.93,100,Tc2,229.76163986824056
891,0.94,100,Tc2,232.60530551465547
892,0.95,100,Tc2,235.41116664919153
893,0.96,100,Tc2,238.1753651533243
894,0.97,100,Tc2,240.89407426129105
895,0.98,100,Tc2,243.56351583475066
896,0.99,100,Tc2,246.17997768973487
897,1.0,100,Tc2,248.73983080888115
898,0.01,300,Tc2,23.294202957526977
899,0.02,300,Tc2,23.55575972432007
900,0.03,300,Tc2,23.821426284575868
901,0.04,300,Tc2,24.09128132912883
902,0.05,300,Tc2,24.365405195396757
903,0.06,300,Tc2,24.643879899360865
904,0.07,300,Tc2,24.926789167761832
905,0.08,300,Tc2,25.214218470353003
906,0.09,300,Tc2,25.50625505259633
907,0.1,300,Tc2,25.80298796823397
908,0.11,300,Tc2,26.10450811214379
909,0.12,300,Tc2,26.41090825306948
910,0.13,300,Tc2,26.72228306654458
911,0.14,300,Tc2,27.03872916752059
912,0.15,300,Tc2,27.360345143165485
913,0.16,300,Tc2,27.687231585082348
914,0.17,300,Tc2,28.01949112166537
915,0.18,300,Tc2,28.357228449817793
916,0.19,300,Tc2,28.700550366352193
917,0.2,300,Tc2,29.04956579892539
918,0.21,300,Tc2,29.40438583615338
919,0.22,300,Tc2,29.765123757249487
920,0.23,300,Tc2,30.131895060617325
921,0.24,300,Tc2,30.504817491498727
922,0.25,300,Tc2,30.884011068610533
923,0.26,300,Tc2,31.269598109406587
924,0.27,300,Tc2,31.661703253985223
925,0.28,300,Tc2,32.06045348734958
926,0.29,300,Tc2,32.46597816006457
927,0.3,300,Tc2,32.878409006707415
928,0.31,300,Tc2,33.29788016243353
929,0.32,300,Tc2,33.724528176867324
930,0.33,300,Tc2,34.158492025665026
931,0.34,300,Tc2,34.599913118984176
932,0.35,300,Tc2,35.048935306940784
933,0.36,300,Tc2,35.50570488155242
934,0.37,300,Tc2,35.9703705751144
935,0.38,300,Tc2,36.44308355428617
936,0.39,300,Tc2,36.923997409985496
937,0.4,300,Tc2,37.41326814250666
938,0.41,300,Tc2,37.911054141364
939,0.42,300,Tc2,38.41751615973404
940,0.43,300,Tc2,38.93281728286407
941,0.44,300,Tc2,39.457122890019
942,0.45,300,Tc2,39.99060060956477
943,0.46,300,Tc2,40.533420266558515
944,0.47,300,Tc2,41.08575382252885
945,0.48,300,Tc2,41.64777530644411
946,0.49,300,Tc2,42.21966073696418
947,0.5,300,Tc2,42.80158803461514
948,0.51,300,Tc2,43.39373692375826
949,0.52,300,Tc2,43.996288823484484
950,0.53,300,Tc2,44.6094267267426
951,0.54,300,Tc2,45.233335066814064
952,0.55,300,Tc2,45.86819957086159
953,0.56,300,Tc2,46.514207098925866
954,0.57,300,Tc2,47.171545468507276
955,0.58,300,Tc2,47.84040326293275
956,0.59,300,Tc2,48.520969623484646
957,0.6,300,Tc2,49.213434023602034
958,0.61,300,Tc2,49.91798602490003
959,0.62,300,Tc2,50.63481501350675
960,0.63,300,Tc2,51.36410991606222
961,0.64,300,Tc2,52.1060588943214
962,0.65,300,Tc2,52.8608490172473
963,0.66,300,Tc2,53.628665909673096
964,0.67,300,Tc2,54.40969337652172
965,0.68,300,Tc2,55.2041130014913
966,0.69,300,Tc2,56.0121037192522
967,0.7,300,Tc2,56.833841360162246
968,0.71,300,Tc2,57.66949816647861
969,0.72,300,Tc2,58.519242279100986
970,0.73,300,Tc2,59.383237194208455
971,0.74,300,Tc2,60.261641188435476
972,0.75,300,Tc2,61.15460671243221
973,0.76,300,Tc2,62.062279751455605
974,0.77,300,Tc2,62.98479915301408
975,0.78,300,Tc2,63.92229592062216
976,0.79,300,Tc2,64.8748924733581
977,0.8,300,Tc2,65.84270187121314
978,0.81,300,Tc2,66.82582700599363
979,0.82,300,Tc2,67.82435975772002
980,0.83,300,Tc2,68.83838011733582
981,0.84,300,Tc2,69.8679552756061
982,0.85,300,Tc2,70.91313867964567
983,0.86,300,Tc2,71.97396905760337
984,0.87,300,Tc2,73.05046941313542
985,0.88,300,Tc2,74.142645991435
986,0.89,300,Tc2,75.25048721837486
987,0.9,300,Tc2,76.37396261585529
988,0.91,300,Tc2,77.51302169542662
989,0.92,300,Tc2,78.66759283385811
990,0.93,300,Tc2,79.83758213429148
991,0.94,300,Tc2,81.0228722766291
992,0.95,300,Tc2,82.2233213623803
993,0.96,300,Tc2,83.43876175853204
994,0.97,300,Tc2,84.66899894625605
995,0.98,300,Tc2,85.91381038044112
996,0.99,300,Tc2,87.17294436682998
997,1.0,300,Tc2,88.446118963543
