,fopt,kch,species,delta
125,0.27,10,Tc1,921.9306031933448
126,0.28,10,Tc1,944.4815720002445
127,0.29,10,Tc1,967.8010673458903
128,0.3,10,Tc1,991.9181183023502
129,0.31,10,Tc1,1016.8623620507778
130,0.32,10,Tc1,1042.6639201560865
131,0.33,10,Tc1,1069.3532381260402
132,0.34,10,Tc1,1096.960880356277
133,0.35,10,Tc1,1125.5172709651158
134,0.36,10,Tc1,1155.0523691084197
135,0.37,10,Tc1,1185.5952650826327
136,0.38,10,Tc1,1217.1736808047615
137,0.39,10,Tc1,1249.813355036598
138,0.4,10,Tc1,1283.5372899141464
139,0.41,10,Tc1,1318.3648308848722
140,0.42,10,Tc1,1354.31054696562
141,0.43,10,Tc1,1391.3828722736969
142,0.44,10,Tc1,1429.582463030964
143,0.45,10,Tc1,1468.9002167626754
144,0.46,10,Tc1,1509.3148923795738
145,0.47,10,Tc1,1550.790261610594
146,0.48,10,Tc1,1593.2717144974035
147,0.49,10,Tc1,1636.6822354681958
148,0.5,10,Tc1,1680.9176636120567
149,0.51,10,Tc1,1725.8411538500907
150,0.52,10,Tc1,1771.2767686838545
151,0.53,10,Tc1,1817.0021587823142
152,0.54,10,Tc1,1862.740342712412
153,0.55,10,Tc1,1908.1506821339628
154,0.56,10,Tc1,1952.819282040694
155,0.57,10,Tc1,1996.2492416482723
156,0.58,10,Tc1,2037.851456190786
157,0.59,10,Tc1,2076.9370351675416
158,0.6,10,Tc1,2112.7128586133476
159,0.61,10,Tc1,2144.2823150331133
160,0.62,10,Tc1,2170.653784782142
161,0.63,10,Tc1,2190.759818130048
162,0.64,10,Tc1,2203.4899936966535
163,0.65,10,Tc1,2207.7398387949966
164,0.66,10,Tc1,2202.476630063016
165,0.67,10,Tc1,2186.820147648187
166,0.68,10,Tc1,2160.1325995372786
167,0.69,10,Tc1,2122.1075489303066
168,0.7,10,Tc1,2072.843974099383
169,0.71,10,Tc1,2012.8902067952804
170,0.72,10,Tc1,1943.2449040007423
171,0.73,10,Tc1,1865.308848043115
172,0.74,10,Tc1,1780.7909927587714
173,0.75,10,Tc1,1691.5819659204642
174,0.76,10,Tc1,1599.614917828545
175,0.77,10,Tc1,1506.7349672543387
176,0.78,10,Tc1,1414.5944565918044
177,0.79,10,Tc1,1324.583713381229
178,0.8,10,Tc1,1237.7988396670833
179,0.81,10,Tc1,1155.0415889703106
180,0.82,10,Tc1,1076.8427957754052
181,0.83,10,Tc1,1003.5000130488006
182,0.84,10,Tc1,935.1211612102808
183,0.85,10,Tc1,871.6680897706389
184,0.86,10,Tc1,812.9961914919243
185,0.87,10,Tc1,758.888110396412
186,0.88,10,Tc1,709.0809663908765
187,0.89,10,Tc1,663.2873901468423
188,0.9,10,Tc1,621.2111235147626
189,0.91,10,Tc1,582.5581169420951
190,0.92,10,Tc1,547.0440557096704
191,0.93,10,Tc1,514.3991535493337
192,0.94,10,Tc1,484.37092019377627
193,0.95,10,Tc1,456.7254714486235
194,0.96,10,Tc1,431.24782375238016
195,0.97,10,Tc1,407.7415072663481
196,0.98,10,Tc1,386.02774391521245
197,0.99,10,Tc1,365.9443680933915
198,1.0,10,Tc1,347.3446152911262
199,0.01,30,Tc1,318.4896917983906
200,0.02,30,Tc1,323.5938717544286
201,0.03,30,Tc1,328.81040163413223
202,0.04,30,Tc1,334.1420579446321
203,0.05,30,Tc1,339.59166859146984
204,0.06,30,Tc1,345.1621108975816
205,0.07,30,Tc1,350.8563091701487
206,0.08,30,Tc1,356.67723175899954
207,0.09,30,Tc1,362.6278875461823
208,0.1,30,Tc1,368.7113217986731
209,0.11,30,Tc1,374.9306113105378
210,0.12,30,Tc1,381.28885875198665
211,0.13,30,Tc1,387.7891861352051
212,0.14,30,Tc1,394.43472729776624
213,0.15,30,Tc1,401.2286192949667
214,0.16,30,Tc1,408.1739925805774
215,0.17,30,Tc1,415.273959846763
216,0.18,30,Tc1,422.5316033787075
217,0.19,30,Tc1,429.94996076883996
218,0.2,30,Tc1,437.5320088208351
219,0.21,30,Tc1,445.28064545888896
220,0.22,30,Tc1,453.19866944271286
221,0.23,30,Tc1,461.2887576724002
222,0.24,30,Tc1,469.5534398517575
223,0.25,30,Tc1,477.99507026038515
224,0.26,30,Tc1,486.61579636950546
225,0.27,30,Tc1,495.4175240191712
