,index,fopt,rb1,rb2,tc1,tc2,Tt1,Tt2,kch,ksp,tu1,tu2,protein,Rb,Tc,kspeed_factor,protein_expr_rate
15,15,0.75,218.35667315040112,157.1257611636734,128.30591286777795,59.435304289259314,175,75,300,0.5,46.69408713222205,15.564695710740686,6225.878284296274,375.4824343140745,187.74121715703725,1.0,62.25878284296274
16,16,0.8,248.3574358574937,123.56402838024596,123.76858569509587,62.19214642377397,175,75,300,0.5,51.231414304904135,12.80785357622603,6403.926788113017,371.92146423773966,185.96073211886983,1.0,64.03926788113017
17,17,0.85,279.0606889625331,90.22325928272649,119.44567800423533,65.19629611839447,175,75,300,0.5,55.55432199576467,9.803703881605529,6535.80258773702,369.2839482452596,184.6419741226298,1.0,65.3580258773702
18,18,0.9,309.5741737083109,58.067234851813275,115.4386338520559,68.38207042800622,175,75,300,0.5,59.5613661479441,6.617929571993784,6617.929571993789,367.6414085601242,183.8207042800621,1.0,66.1792957199379
19,19,0.95,339.1194754310239,27.84233573914261,111.8068603058291,71.67404527925416,175,75,300,0.5,63.193139694170895,3.325954720745841,6651.9094414916735,366.96181117016647,183.48090558508326,1.0,66.51909441491674
20,20,1.0,367.1359641163506,0.0,108.56798205817528,75.0,175,75,300,0.5,66.43201794182472,0.0,6643.201794182472,367.1359641163506,183.5679820581753,1.0,66.43201794182472
21,21,0.0,0.0,436.8051263561058,1750.0,434.02563178052895,1750,750,30,0.05,0.0,315.97436821947105,,436.8051263561058,2184.025631780529,1.0,
22,22,0.05,5.692218256028758,428.5226740750488,1733.5537230827695,437.52073857261854,1750,750,30,0.05,16.446276917230534,312.47926142738146,3289.255383446107,434.2148923310776,2171.074461655388,1.0,32.89255383446107
23,23,0.1,11.990333364225275,419.43641557788203,1715.7133744710536,441.42037023948285,1750,750,30,0.05,34.28662552894639,308.57962976051715,3428.662552894639,431.4267489421073,2157.1337447105366,1.0,34.28662552894639
24,24,0.15,18.98820438374116,409.43400154045764,1696.316654443149,445.79437517784487,1750,750,30,0.05,53.68334555685101,304.20562482215513,3578.8897037900674,428.4222059241988,2142.111029620994,1.0,35.788897037900675
25,25,0.2,26.79755121312821,398.3844879760636,1675.1820391891918,450.72815675676725,1750,750,30,0.05,74.81796081080824,299.27184324323275,3740.8980405404122,425.1820391891918,2125.910195945959,1.0,37.40898040540412
26,26,0.25,35.55133498137227,386.13576370849205,1652.1088733623303,456.3266200869912,1750,750,30,0.05,97.89112663766969,293.6733799130088,3915.6450655067874,421.68709868986434,2108.4354934493217,1.0,39.15645065506787
27,27,0.3,45.40732371258326,372.51240069760166,1626.8795866152775,462.7190354356473,1750,750,30,0.05,123.1204133847225,287.2809645643527,4104.01377949075,417.9197244101849,2089.598622050925,1.0,41.040137794907494
28,28,0.35,56.55132657205604,357.3147730254907,1599.2656742957067,470.06482369202683,1750,750,30,0.05,150.73432570429327,279.93517630797317,4306.695020122665,413.86609959754674,2069.3304979877335,1.0,43.066950201226646
29,29,0.4,69.19900467572745,340.3209906198398,1569.0399905911345,478.5599858867018,1750,750,30,0.05,180.96000940886552,271.4400141132982,4524.000235221638,409.51999529556724,2047.5999764778362,1.0,45.24000235221638
30,30,0.45,83.59417559494875,321.2942882764438,1535.9990437106333,488.4432756463295,1750,750,30,0.05,214.00095628936674,261.5567243536705,4755.576806430372,404.88846387139256,2024.4423193569628,1.0,47.55576806430372
