,index,fopt,rb1,rb2,tc1,tc2,kch,tu1,tu2,protein,Rb,Tc,protein_expr_rate,Rf,ratio
12,1087,0.5,216.70171710281116,216.70171710281116,1152.446436824642,1152.446436824642,51.2,97.55356317535802,97.55356317535802,3329.828289718887,433.4034342056223,2304.892873649284,33.29828289718887,66.59656579437768,0.5
13,1188,0.5,215.52947773347722,215.52947773347722,1199.5060708986482,1199.5060708986482,102.4,50.493929101351796,50.493929101351796,3447.0522266522826,431.05895546695444,2399.0121417972964,34.47052226652283,68.94104453304556,0.5
14,1289,0.5,214.91684934738612,214.91684934738612,1224.304333018105,1224.304333018105,204.8,25.6956669818951,25.6956669818951,3508.3150652614113,429.83369869477224,2448.60866603621,35.083150652614115,70.16630130522776,0.5
15,1390,0.5,214.60363512440676,214.60363512440676,1237.0374640348168,1237.0374640348168,409.6,12.962535965183179,12.962535965183179,3539.636487559353,429.20727024881353,2474.0749280696336,35.396364875593534,70.79272975118647,0.5
16,51,0.56,-33.39543768769464,532.9702984229258,-53.467929623429654,2.632341010162656,0.025,1428.4679296234297,1122.3676589898373,21.25696323844389,499.57486073523114,-50.835588613267,0.2125696323844389,0.425139264768859,0.55
17,140,0.55,249.5874654970059,249.58746549700138,13.636140112015319,11.156841909830916,0.05,1361.3638598879847,1113.843158090169,41.2534502996359,499.17493099400724,24.792982021846235,0.412534502996359,0.8250690059927592,0.55
18,233,0.55,249.1830590520699,249.18305905206762,27.047435913467556,22.129720292837288,0.1,1347.9525640865324,1102.8702797071628,81.69409479312317,498.3661181041375,49.17715620630484,0.8169409479312317,1.633881895862487,0.55
19,326,0.55,248.39783335816023,248.39783335815906,53.21252048170772,43.53751675776106,0.2,1321.7874795182922,1081.462483242239,160.21666418403544,496.79566671631926,96.75003723946878,1.6021666418403544,3.2043332836807394,0.55
20,416,0.55,246.91643273009282,246.91643273009223,103.02850116316418,84.29604640622541,0.4,1271.9714988368357,1040.7039535937745,308.3567269907481,493.8328654601851,187.3245475693896,3.0835672699074808,6.167134539814924,0.55
21,502,0.55,244.27140400421501,244.2714040042147,193.4770758693143,158.2994257112573,0.8,1181.5229241306856,966.7005742887427,572.8595995785142,488.5428080084297,351.77650158057156,5.728595995785143,11.457191991570312,0.55
22,589,0.56,259.3295391469763,220.65462569293118,324.1686540951417,299.34679964618294,1.6,1050.8313459048584,825.653200353817,1000.7917580046269,479.98416483990746,623.5154537413246,10.00791758004627,20.015835160092536,0.55
23,691,0.57,257.3927139316566,210.8723266601188,527.0815533114996,485.3422244279733,3.2,847.9184466885004,639.6577755720267,1586.7479704112288,468.2650405917754,1012.4237777394729,15.867479704112288,31.734959408224597,0.55
24,793,0.58,251.41191738627313,204.083986391276,770.0224419760588,686.9128028102493,6.4,604.9775580239412,438.08719718975067,2225.204811122542,455.49590377754913,1456.935244786308,22.25204811122542,44.50409622245087,0.55
25,898,0.62,264.8607173961857,179.74492432037707,972.5253655969013,878.3219982690686,12.8,402.47463440309866,246.67800173093144,2769.7179141718616,444.6056417165628,1850.8473638659698,27.697179141718618,55.394358283437214,0.55
26,1006,0.69,291.6557883089758,145.23169808205213,1119.838079744976,1010.3620358274529,25.6,255.16192025502392,114.63796417254707,3155.625680448605,436.8874863910279,2130.2001155724292,31.55625680448605,63.11251360897211,0.55
27,1122,0.84,356.6617605382924,75.01434782136882,1206.8591729163538,1092.973175793591,51.2,168.14082708364617,32.026824206408946,3416.194582016938,431.6761083596612,2299.832348709945,34.16194582016938,68.32389164033879,0.55
28,1239,1.0,427.6424660418004,0.0,1269.0075186159183,1125.0,102.4,105.99248138408166,0.0,3617.8766979099873,427.6424660418004,2394.0075186159183,36.178766979099876,72.35753395819961,0.55
29,1340,1.0,425.16108556104825,0.0,1320.1863419636584,1125.0,204.8,54.81365803634162,0.0,3741.945721947588,425.16108556104825,2445.1863419636584,37.41945721947588,74.83891443895175,0.55
30,1441,1.0,423.8667888859955,0.0,1347.1191853830549,1125.0,409.6,27.880814616945145,0.0,3806.6605557002435,423.8667888859955,2472.119185383055,38.06660555700243,76.1332111140045,0.55
31,62,0.67,509.3516467851318,-9.785904456359978,4.284161662566142,-109.83018903187025,0.025,1745.7158383374338,859.8301890318703,21.71288356141087,499.5657423287718,-105.54602736930411,0.2171288356141087,0.43425767122818115,0.7
32,158,0.7,249.58746549700098,249.5874654970063,17.355087415292562,7.437894606553798,0.05,1732.6449125847075,742.5621053934462,41.25345029963589,499.17493099400724,24.79298202184636,0.41253450299635885,0.8250690059927592,0.7
33,246,0.7,249.18305905206742,249.18305905207012,34.424009344413584,14.753146861891382,0.1,1715.5759906555863,735.2468531381086,81.69409479312316,498.3661181041375,49.177156206304964,0.8169409479312315,1.633881895862487,0.7
34,342,0.7,248.39783335815898,248.3978333581603,67.72502606762833,29.025011171840564,0.2,1682.2749739323717,720.9749888281594,160.2166641840354,496.79566671631926,96.7500372394689,1.6021666418403542,3.2043332836807394,0.7
