,fopt,time,protein,kch
166,0.67,100.0,18882.0,100.0
167,0.67,200.0,37992.66666666666,100.0
168,0.69,100.0,19519.666666666668,100.0
169,0.69,200.0,39268.333333333336,100.0
170,0.71,100.0,19881.666666666668,100.0
171,0.71,200.0,40001.333333333336,100.0
172,0.73,100.0,19925.666666666668,100.0
173,0.73,200.0,40107.333333333336,100.0
174,0.75,100.0,19760.666666666668,100.0
175,0.75,200.0,39750.0,100.0
176,0.77,100.0,19459.33333333333,100.0
177,0.77,200.0,39151.66666666666,100.0
178,0.79,100.0,19112.666666666668,100.0
179,0.79,200.0,38456.333333333336,100.0
180,0.81,100.0,18728.33333333333,100.0
181,0.81,200.0,37690.0,100.0
182,0.83,100.0,18347.33333333333,100.0
183,0.83,200.0,36917.333333333336,100.0
184,0.85,100.0,17968.333333333332,100.0
185,0.85,200.0,36158.0,100.0
186,0.87,100.0,17593.666666666668,100.0
187,0.87,200.0,35407.0,100.0
188,0.89,100.0,17217.0,100.0
189,0.89,200.0,34676.666666666664,100.0
190,0.91,100.0,16864.666666666668,100.0
191,0.91,200.0,33969.0,100.0
192,0.93,100.0,16532.333333333332,100.0
193,0.93,200.0,33279.0,100.0
194,0.95,100.0,16193.0,100.0
195,0.95,200.0,32619.0,100.0
196,0.97,100.0,15873.0,100.0
197,0.97,200.0,31970.33333333333,100.0
198,0.99,100.0,15571.0,100.0
199,0.99,200.0,31358.33333333333,100.0
200,0.01,100.0,16457.0,300.0
201,0.01,200.0,33140.0,300.0
202,0.03,100.0,16770.666666666668,300.0
203,0.03,200.0,33784.0,300.0
204,0.05,100.0,17100.333333333332,300.0
205,0.05,200.0,34437.333333333336,300.0
206,0.07,100.0,17436.666666666668,300.0
207,0.07,200.0,35113.0,300.0
208,0.09,100.0,17785.333333333332,300.0
209,0.09,200.0,35825.333333333336,300.0
210,0.11,100.0,18151.666666666668,300.0
211,0.11,200.0,36556.66666666666,300.0
212,0.13,100.0,18536.33333333333,300.0
213,0.13,200.0,37318.0,300.0
214,0.15,100.0,18940.33333333333,300.0
215,0.15,200.0,38116.333333333336,300.0
216,0.17,100.0,19339.666666666668,300.0
217,0.17,200.0,38937.66666666666,300.0
218,0.19,100.0,19773.0,300.0
219,0.19,200.0,39807.0,300.0
220,0.21,100.0,20223.0,300.0
221,0.21,200.0,40690.333333333336,300.0
222,0.23,100.0,20684.0,300.0
223,0.23,200.0,41619.333333333336,300.0
224,0.25,100.0,21179.666666666668,300.0
225,0.25,200.0,42619.66666666666,300.0
226,0.27,100.0,21687.666666666668,300.0
227,0.27,200.0,43640.333333333336,300.0
228,0.29,100.0,22222.33333333333,300.0
229,0.29,200.0,44713.66666666666,300.0
230,0.31,100.0,22774.666666666668,300.0
231,0.31,200.0,45807.333333333336,300.0
232,0.33,100.0,23354.0,300.0
233,0.33,200.0,46972.333333333336,300.0
234,0.35,100.0,23965.33333333333,300.0
235,0.35,200.0,48189.333333333336,300.0
236,0.37,100.0,24609.33333333333,300.0
237,0.37,200.0,49469.0,300.0
238,0.39,100.0,25269.33333333333,300.0
239,0.39,200.0,50786.333333333336,300.0
240,0.41,100.0,25958.33333333333,300.0
241,0.41,200.0,52178.333333333336,300.0
242,0.43,100.0,26698.0,300.0
243,0.43,200.0,53625.66666666666,300.0
244,0.45,100.0,27426.33333333333,300.0
245,0.45,200.0,55102.66666666666,300.0
246,0.47,100.0,28242.33333333333,300.0
247,0.47,200.0,56738.0,300.0
248,0.49,100.0,29064.0,300.0
249,0.49,200.0,58365.333333333336,300.0
250,0.51,100.0,29904.666666666668,300.0
251,0.51,200.0,60051.0,300.0
252,0.53,100.0,30784.33333333333,300.0
253,0.53,200.0,61825.0,300.0
254,0.55,100.0,31669.0,300.0
255,0.55,200.0,63578.333333333336,300.0
256,0.57,100.0,32587.0,300.0
257,0.57,200.0,65412.333333333336,300.0
258,0.59,100.0,33508.0,300.0
259,0.59,200.0,67247.0,300.0
260,0.61,100.0,34440.333333333336,300.0
261,0.61,200.0,69104.66666666667,300.0
262,0.63,100.0,35312.666666666664,300.0
263,0.63,200.0,70848.0,300.0
264,0.65,100.0,36163.66666666666,300.0
265,0.65,200.0,72561.33333333333,300.0
266,0.67,100.0,36957.66666666666,300.0
267,0.67,200.0,74117.33333333333,300.0
268,0.69,100.0,37631.333333333336,300.0
269,0.69,200.0,75497.0,300.0
270,0.71,100.0,38254.66666666666,300.0
271,0.71,200.0,76692.66666666667,300.0
272,0.73,100.0,38695.66666666666,300.0
273,0.73,200.0,77570.33333333333,300.0
274,0.75,100.0,38947.66666666666,300.0
275,0.75,200.0,78131.0,300.0
276,0.77,100.0,39137.333333333336,300.0
277,0.77,200.0,78473.0,300.0
278,0.79,100.0,39207.333333333336,300.0
279,0.79,200.0,78618.66666666667,300.0
280,0.81,100.0,39131.0,300.0
281,0.81,200.0,78418.66666666667,300.0
282,0.83,100.0,38928.0,300.0
283,0.83,200.0,78061.0,300.0
284,0.85,100.0,38682.0,300.0
285,0.85,200.0,77578.66666666667,300.0
286,0.87,100.0,38382.333333333336,300.0
287,0.87,200.0,76971.33333333333,300.0
288,0.89,100.0,38023.66666666666,300.0
289,0.89,200.0,76289.33333333333,300.0
290,0.91,100.0,37626.333333333336,300.0
291,0.91,200.0,75439.66666666667,300.0
292,0.93,100.0,37213.66666666666,300.0
293,0.93,200.0,74637.33333333333,300.0
294,0.95,100.0,36757.333333333336,300.0
295,0.95,200.0,73738.66666666667,300.0
296,0.97,100.0,36285.333333333336,300.0
297,0.97,200.0,72839.66666666667,300.0
298,0.99,100.0,35846.333333333336,300.0
299,0.99,200.0,71923.33333333333,300.0
300,0.01,100.0,30703.666666666668,1000.0
301,0.01,200.0,61688.66666666666,1000.0
302,0.03,100.0,31140.0,1000.0
303,0.03,200.0,62538.66666666666,1000.0
304,0.05,100.0,31565.33333333333,1000.0
305,0.05,200.0,63382.0,1000.0
306,0.07,100.0,31972.0,1000.0
307,0.07,200.0,64222.0,1000.0
308,0.09,100.0,32433.0,1000.0
309,0.09,200.0,65155.333333333336,1000.0
310,0.11,100.0,32910.333333333336,1000.0
311,0.11,200.0,66054.0,1000.0
312,0.13,100.0,33377.0,1000.0
313,0.13,200.0,67019.0,1000.0
314,0.15,100.0,33891.333333333336,1000.0
315,0.15,200.0,67987.66666666667,1000.0
316,0.17,100.0,34345.0,1000.0
317,0.17,200.0,68972.0,1000.0
318,0.19,100.0,34914.666666666664,1000.0
319,0.19,200.0,70054.0,1000.0
320,0.21,100.0,35402.0,1000.0
321,0.21,200.0,71038.0,1000.0
322,0.23,100.0,35911.0,1000.0
323,0.23,200.0,72108.33333333333,1000.0
324,0.25,100.0,36492.333333333336,1000.0
325,0.25,200.0,73232.66666666667,1000.0
326,0.27,100.0,37031.66666666666,1000.0
327,0.27,200.0,74336.66666666667,1000.0
328,0.29,100.0,37575.66666666666,1000.0
329,0.29,200.0,75423.33333333333,1000.0
330,0.31,100.0,38162.0,1000.0
331,0.31,200.0,76580.0,1000.0
332,0.33,100.0,38771.0,1000.0
333,0.33,200.0,77721.66666666667,1000.0
334,0.35,100.0,39356.66666666666,1000.0
335,0.35,200.0,78938.0,1000.0
336,0.37,100.0,39935.66666666666,1000.0
337,0.37,200.0,80122.33333333333,1000.0
338,0.39,100.0,40506.66666666666,1000.0
339,0.39,200.0,81255.0,1000.0
340,0.41,100.0,41155.0,1000.0
341,0.41,200.0,82552.0,1000.0
342,0.43,100.0,41741.333333333336,1000.0
343,0.43,200.0,83775.33333333333,1000.0
344,0.45,100.0,42392.333333333336,1000.0
345,0.45,200.0,85049.0,1000.0
346,0.47,100.0,43011.66666666666,1000.0
347,0.47,200.0,86290.0,1000.0
348,0.49,100.0,43708.0,1000.0
349,0.49,200.0,87621.0,1000.0
350,0.51,100.0,44298.66666666666,1000.0
351,0.51,200.0,88809.0,1000.0
352,0.53,100.0,44987.0,1000.0
353,0.53,200.0,90171.33333333331,1000.0
354,0.55,100.0,45642.0,1000.0
355,0.55,200.0,91465.66666666669,1000.0
356,0.57,100.0,46202.333333333336,1000.0
357,0.57,200.0,92608.66666666669,1000.0
358,0.59,100.0,46918.0,1000.0
359,0.59,200.0,93937.33333333331,1000.0
360,0.61,100.0,47527.0,1000.0
361,0.61,200.0,95214.66666666669,1000.0
362,0.63,100.0,48095.0,1000.0
363,0.63,200.0,96387.66666666669,1000.0
364,0.65,100.0,48673.66666666666,1000.0
365,0.65,200.0,97617.0,1000.0
366,0.67,100.0,49355.66666666666,1000.0
367,0.67,200.0,98853.66666666669,1000.0
368,0.69,100.0,49928.333333333336,1000.0
369,0.69,200.0,99949.66666666669,1000.0
370,0.71,100.0,50469.66666666666,1000.0
